A, N, Efficiency, throughput
7, 20, 0.9930909090909091, 0.20482500000000003
7, 40, 0.9781479491312914, 0.409575
7, 60, 0.9639266706091071, 0.61125
7, 80, 0.9536068651112899, 0.8001
7, 100, 0.9451663572754534, 0.99285
10, 20, 0.9815049404611097, 0.29055
10, 40, 0.9678553490708187, 0.5781
10, 60, 0.952544935326726, 0.850575
10, 80, 0.9280713710426863, 1.1235
10, 100, 0.92, 1.40415
20, 20, 0.9589261412841766, 0.581325
20, 40, 0.9258849557522124, 1.12995
20, 60, 0.9079201810327093, 1.655025
20, 80, 0.881415017126921, 2.180775
20, 100, 0.8629236216489631, 2.68695
