A, N, Efficiency, throughput
7, 20, 0.9066020376105202, 0.20199999999999999
7, 40, 0.611410882111519, 0.38435
7, 60, 0.4005952119159666, 0.5465
7, 80, 0.27169988818425256, 0.6585
7, 100, 0.1968881461777213, 0.7596999999999999
10, 20, 0.8129035209616451, 0.2843
10, 40, 0.4140647945957681, 0.5188
10, 60, 0.2469779442952071, 0.69875
10, 80, 0.16036725157460913, 0.8194
10, 100, 0.12052673999300668, 0.8927499999999999
20, 20, 0.4373001640910498, 0.5282
20, 40, 0.172391394992635, 0.82275
20, 60, 0.0949013485175491, 0.9548
20, 80, 0.06341233096880644, 1.0204499999999999
20, 100, 0.0473503885067507, 1.0623
